"RA","RA_error","DEC","DEC_error","Object","tag","redshift"
-0.795,0.003,-0.156,0.003,"B0712","Lente",0.41
-0.747,0.003,-0.292,0.006,"B0712","Lente",0.41
0.013,0.004,-0.804,0.003,"B0712","Lente",0.41
0.391,0.006,0.307,0.003,"B0712","Lente",0.41
0,0,0,0,"B0712","Lente",1.34
-0.092,0.004,-0.145,0.005,"B0712","Lente",0.41
0,0,0,0,"B1030","Lente",1.54
0.963,0.003,-1.308,0.003,"B1030","Lente",0.6
0.878,0.003,-1.143,0.003,"B1030","Lente",0.6
0.374,0.008,-1.283,0.005,"B1030","Lente",0.6
0,0,0,0,"B1152","Lente",1.019
0.936,0.003,-1.246,0.003,"B1152","Lente",0.439
0.549,0.005,-0.978,0.005,"B1152","Lente",0.439
-0.071,0.006,-1.041,0.006,"B1152","Lente",0.439
0.385,0,0.317,0,"B1422","Lente",0.34
0,0,0,0,"B1422","Lente",3.62
-0.336,0.003,-0.75,0.003,"B1422","Lente",0.34
0.948,0.004,-0.802,0.003,"B1422","Lente",0.34
0.742,0.003,-0.656,0.004,"B1422","Lente",0.34
0,0,0,0,"B1600","Lente",1.59
-0.72,0.003,1.183,0.004,"B1600","Lente",0.41
-0.11,0.003,0.369,0.004,"B1600","Lente",0.41
-0.11,0.003,0.369,0.004,"B1600","Lente",0.41
3.553,0.003,-2.204,0.004,"B1600","Lente",0.41
-0.283,0.009,0.637,0.007,"B1600","Lente",0.41
0,0,0,0,"B1608","Lente",1.39
0.758,0.012,0.126,0.003,"B1608","Lente",0.63
0.364,0.012,-0.021,0.009,"B1608","Lente",0.63
0,0,0,0,"B1933","Lente",2.63
0.034,0.173,0.139,0.108,"B1933","Lente",0.76
0,0,0,0,"B1938","Lente",2.059
-0.017,0.003,0.038,0.007,"B1938","Lente",0.881
0,0,0,0,"B2045","Lente",1.28
-0.136,0.003,-0.249,0.003,"B2045","Lente",0.87
-0.288,0.003,-0.79,0.003,"B2045","Lente",0.87
1.1,0.003,-0.811,0.004,"B2045","Lente",0.87
2.992,0.003,-1.479,0.004,"B2045","Lente",0.87
0,0,0,0,"B2114","Talvez",0.59
0.137,0.004,1.3,0.003,"B2114","Talvez",0.32
0,0,0,0,"BRI0952","Lente",4.5
-0.696,0.003,-0.709,0.003,"BRI0952","Lente",0.632
-0.396,0.003,-0.506,0.003,"BRI0952","Lente",0.632
0,0,0,0,"CFRS03","Talvez",2.941
0,0,0,0,"CFRS03","Talvez",2.941
1.605,0,0.578,0,"CFRS03","Talvez",0.938
-1.758,0,2.552,0,"CFRS03","Talvez",0.938
0,0,0,0,"FBQ0951","Lente",1.24
0.9,0.003,-0.635,0.003,"FBQ0951","Lente",0.24
0.76,0.003,-0.455,0.003,"FBQ0951","Lente",0.24
0.76,0.003,-0.455,0.003,"FBQ0951","Lente",0.24
0.76,0,-0.455,0,"FBQ0951","Lente",0.24
0,0,0,0,"FSC10214","Lente",2.29
0.005,0.003,-0.367,0.004,"FSC10214","Lente",0.75
0,0,0,0,"HE0435","Lente",1.689
-1.476,0.003,0.553,0.003,"HE0435","Lente",0.46
-2.467,0.003,-0.603,0.005,"HE0435","Lente",0.46
-0.939,0.003,-1.614,0.003,"HE0435","Lente",0.46
-1.165,0.003,-0.573,0.003,"HE0435","Lente",0.46
0.182,0.003,0.621,0.003,"HE0512","Lente",0.93
0,0,0,0,"HE0512","Lente",1.57
0.087,0.071,0.373,0.103,"HE0512","Lente",0.93
0,0,0,0,"HE1104","Lente",2.32
2.901,0.003,-1.332,0.003,"HE1104","Lente",0.73
0.965,0.003,-0.5,0.003,"HE1104","Lente",0.73
0,0,0,0,"HE2149","Lente",2.03
0.89,0.003,1.446,0.003,"HE2149","Lente",0.5
0.714,0.007,1.15,0.005,"HE2149","Lente",0.5
0,0,0,0,"HS0818","Lente",3.115
-1.508,0.003,2.068,0.003,"HS0818","Lente",0.39
-1.661,0.003,1.472,0.003,"HS0818","Lente",0.39
0.605,0.038,-0.339,0.011,"HST12531","Lente",0.69
-0.14,0.014,-0.519,0.025,"HST12531","Lente",0.69
0.166,0.041,0.454,0.015,"HST12531","Lente",0.69
0,0,0,0,"HST12531","Lente",0.69
-1.095,0.003,0.368,0.007,"HST14113","Lente",0.46
