bestObjId,z,ra,dec,spectroFlux_u,spectroFlux_g,spectroFlux_r,spectroFlux_i,spectroFlux_z
1237659133281435819,0.6466451,213.87773,52.077649,14.3533,15.97616,15.69047,18.494,19.50929
1237659133281435819,0.6466451,213.87773,52.077649,13.27201,15.6499,15.27228,17.70325,18.78397
1237659133281435819,0.6466451,213.87773,52.077649,9.974339,14.21601,14.82882,17.94321,19.87938
1237659133281435819,0.6466451,213.87773,52.077649,14.58635,17.43469,17.28852,19.59806,19.85646
1237659133281435819,0.6466451,213.87773,52.077649,11.73259,14.34643,14.57302,16.99468,17.82553
1237666301627531643,1.288232,46.266283,0.639931,0.829446,2.720441,5.885588,7.591463,8.336221
1237665330380275790,1.288232,161.10636,30.269099,5.737971,7.589856,13.05027,14.44956,15.09728
1237678790282248489,1.288232,30.171038,25.113424,0.711316,2.719579,5.490814,4.974101,4.489259
1237663783132660497,1.288232,20.635998,-0.77607615,0.1361539,1.255027,1.96231,2.121431,1.93783
1237679338958946469,1.664873,36.741349,-7.3885538,4.885127,6.902017,7.619576,9.919012,10.25368
1237661949195190492,1.664873,218.374,9.8847636,14.57975,19.54415,20.86003,27.43093,26.49206
1237651539239436680,1.664873,137.94156,59.093242,4.034869,8.260242,9.011893,11.34222,10.55094
1237657628987228410,1.664873,166.27706,50.75759,2.628823,1.687565,1.809804,2.439274,2.006285
1237655746707325557,1.675672,266.20602,53.91955,4.755323,7.584087,10.23686,14.18493,15.50234
1237651273489580658,1.675672,112.70154,37.271182,5.302876,8.505206,10.32875,13.99451,15.91898
1237660956495446750,1.675672,120.9026,22.269548,-0.1423648,0.5773246,0.2673227,-0.1493176,-1.072529
1237665128537850416,1.675672,168.15031,33.850945,0.2067773,0.7313902,0.2909132,0.5376913,0.2128938
1237668273509892159,1.972259,204.56067,20.041024,22.64152,34.85989,37.52743,49.06291,58.47775
1237667781744197964,1.972259,144.53069,16.708267,15.7331,8.613337,8.15955,8.580825,9.031738
1237666275812704673,1.972259,21.806347,24.684113,3.162951,2.44353,2.675757,3.273538,3.953012
1237657190904889593,1.972259,359.32076,-0.18581881,3.475647,1.648922,2.014129,2.398348,1.915225
1237663784208433246,2.031811,25.202871,0.087349271,4.633801,1.832821,2.1222,2.563485,3.505668
1237671260660433450,2.031811,130.35357,9.7301685,1.091012,0.9223697,0.9842892,1.467152,1.487212
1237654653106847885,2.031811,140.04931,51.165909,49.88746,28.92253,32.29646,39.05724,49.97829
1237661417676144899,2.031811,214.71471,53.796667,1.58078,1.195671,1.24063,1.642866,2.655363
1237678618490569045,2.136753,357.70497,2.0909623,2.989471,2.920263,3.990184,4.981325,7.243328
1237651752926642429,2.136753,157.3373,1.524626,4.190639,3.480051,4.492658,5.136478,6.571052
1237659325497279110,2.136753,254.99368,30.577275,2.494947,1.371358,1.209881,1.30422,1.170389
1237657874865193103,2.136753,138.49665,40.09323,0.4595196,1.857204,1.886055,2.089538,3.058928
1237657606966477096,2.168838,136.93026,45.318185,5.335917,3.507165,2.991923,3.921269,4.909732
1237665548352946302,2.168838,215.11835,23.499316,10.02736,11.06832,15.58024,20.12808,29.40809
1237660343393845543,2.168838,131.42807,32.542195,3.479096,3.923027,4.675735,5.019533,6.273732
1237661387067883824,2.168838,213.10721,54.128232,1.688042,2.420899,3.484394,4.975537,8.335536
1237666184031699577,2.168838,349.22498,25.899962,4.002046,7.633233,8.196033,7.668668,8.739825
1237666091129766350,2.173949,18.227559,24.774083,1.606325,2.866845,3.108902,2.860769,5.213803
1237667321644712574,2.173949,180.75427,26.255081,0.7813126,1.514108,1.744375,1.748572,2.738981
1237665329862476012,2.173949,211.72865,29.385531,2.87941,4.324607,4.757451,5.342348,6.804661
1237671140407575045,2.173949,177.21818,0.28351494,2.311187,2.677005,2.37651,2.103853,0.6985343
1237661151918489921,2.173949,206.59251,48.404593,1.839034,2.473258,3.291259,3.231645,3.798356
1237658203445985498,2.17468,212.28215,45.530477,2.516911,2.294407,2.089511,2.387081,2.891362
1237667211602952811,2.17468,184.43388,30.178945,1.205606,1.519841,1.910519,1.87043,1.960113
1237678790280806553,2.17468,26.63107,25.799857,14.63603,13.56594,14.65278,14.74122,18.016
1237679321776193888,2.17468,8.82403099999999,-6.0940014,6.547633,7.477137,9.002764,9.775016,11.08969
1237678620105638055,2.17468,7.82365759999999,3.541892,5.365927,9.270358,16.64647,21.5055,30.37534
1237665369034850425,2.175014,144.75633,26.242909,3.421319,2.074798,2.305614,2.528598,3.855293
1237663784215577285,2.175014,41.583849,0.0024984,-0.1544781,0.6714152,0.962559,1.229862,2.148568
1237661418212753606,2.175014,214.20109,54.483604,6.138556,5.302721,5.9254,5.913824,7.34495
1237658611984564339,2.175014,181.93324,49.270065,16.30652,19.84893,23.84666,27.29619,34.76326
1237664094509990408,2.184042,129.77806,26.728596,1.23922,2.077062,1.992865,2.122706,2.578827
1237662300823748971,2.184042,212.58761,48.207929,6.253301,5.369192,5.351206,5.20296,6.260738
1237679459747496269,2.184042,8.56544860000002,19.445497,1.021797,2.548265,2.356792,3.054706,4.568253
1237680070175097004,2.184042,19.264168,24.272705,12.39669,9.76617,8.675088,8.276919,9.33784
1237679254136488218,2.189334,38.834008,-4.3651006,1.843725,2.230649,1.691311,1.271365,-0.02396244
1237667734526492723,2.189334,227.39652,16.473978,29.95468,40.30047,53.85155,57.89113,68.9145
1237668272432480586,2.189334,195.64036,19.968934,2.827085,2.881297,2.996052,3.184577,4.246097
1237661872944775389,2.189334,198.87527,44.224571,3.519349,5.355539,9.562548,11.79861,16.99383
1237679461900878216,2.189334,22.980346,20.318978,-1.405328,1.391327,1.726662,2.088622,2.71986
1237657191445889247,2.194128,8.72012469999999,0.23110019,10.95365,10.85281,10.21926,10.09501,12.34678
1237658422487023763,2.194128,175.99092,6.5032003,27.43889,19.56525,21.92307,25.64306,31.86897
1237678879422153054,2.194128,27.824397,-3.2959666,6.205242,8.506579,11.51525,16.95856,26.90725
1237661070335869090,2.194128,182.47437,15.535983,18.86932,19.712,20.59072,21.93186,27.81916
1237666340797481216,2.198725,11.731219,1.1693544,1.459877,2.431859,5.028499,6.627235,9.493371
1237661873468146544,2.198725,156.37539,41.855075,0.6235301,1.341435,1.401781,1.573383,2.420327
1237665129075704053,2.198725,170.71849,34.738806,0.9116328,0.8360068,1.035482,1.322331,2.725611
1237648722282283578,2.198725,129.26143,0.76432876,4.581781,4.709852,4.584977,4.891137,7.10172
1237663783140065378,2.203318,37.444049,-0.65173799,3.139996,4.466697,6.160179,7.833285,12.57044
1237679318551625974,2.203318,358.04181,9.8973126,3.41206,4.712968,5.865502,5.80913,7.297168
1237680332709036353,2.203318,347.26932,28.96324,8.093824,10.08995,10.53644,10.21611,11.68217
1237657628450947243,2.203318,168.65523,50.579396,18.55298,22.18925,37.46282,56.69821,75.02232
1237648704045973875,2.204055,196.63687,-0.24241603,6.536007,8.591241,10.11795,11.29609,13.85429
1237663457240351495,2.204055,318.83709,-0.23374169,1.941056,3.480125,4.815818,5.402614,6.479046
1237668494699594015,2.204055,155.72775,14.732508,-0.5204774,1.186016,1.077073,1.334535,1.616159
1237678907322007800,2.204055,6.0359464,10.614236,1.919255,2.785246,3.11465,3.650023,5.191631
1237651752918647029,2.204793,139.08945,1.0042864,17.13739,20.73493,29.08003,32.68274,42.46723
1237651271896203372,2.204793,161.1101,64.899057,7.288565,12.88065,16.35952,19.05538,25.1818
1237674473291776186,2.204793,174.24983,58.991324,1.54589,2.44738,3.173784,3.252772,4.191254
1237679541362229613,2.204793,25.648184,20.346378,3.361075,6.112683,7.303624,7.878175,10.49189
1237662225152540773,2.209963,217.29258,35.496348,22.27021,24.931,31.40447,34.45503,40.49654
1237662305656963697,2.209963,225.85811,33.902508,1.94781,2.376914,2.40498,2.583026,3.271799
1237666088978743567,2.209963,18.903814,16.540338,7.117545,9.806744,12.16235,13.46856,16.85096
1237657857684275495,2.209963,182.34019,53.125843,2.752655,2.976363,3.342896,4.146873,6.338091
1237655370358390901,2.209963,168.07275,61.824136,8.952108,12.43316,17.58777,25.45027,44.50896
1237663782602998152,2.214401,37.000123,-1.2046184,2.107191,2.009763,2.596588,3.390996,7.192605
1237655177081913801,2.214401,135.7996,-1.6144168,4.911747,7.491257,7.155088,6.670357,8.753196
1237648703507071284,2.214401,191.95247,-0.69833853,1.777511,3.502393,3.44305,2.937741,2.478073
