lens_names,ra,ra_err,dec,dec_err,description
B0218+357,2.35152,,35.9372,,source
B0218+357,2.6585199999999998,0.003,36.063199999999995,0.003,deflected
B0218+357,2.5295199999999998,0.011,35.9832,0.024,galaxy
B0712+472,6.47266,0.003,46.9912,0.003,deflected
B0712+472,6.52066,0.003,46.855199999999996,0.006,deflected
B0712+472,7.28066,0.004,46.343199999999996,0.003,deflected
B0712+472,7.65866,0.006,47.4542,0.003,deflected
B0712+472,7.26766,,47.1472,,source
B0712+472,7.175660000000001,0.004,47.002199999999995,0.005,deflected
B1030+074,10.5595,,7.19042,,source
B1030+074,11.522499999999999,0.003,5.88242,0.003,deflected
B1030+074,11.4375,0.003,6.04742,0.003,galaxy
B1030+074,10.9335,0.008,5.90742,0.005,galaxy deflected
B1152+200,11.9217,,19.6617,,source
B1152+200,12.8577,0.003,18.4157,0.003,deflected
B1152+200,12.470699999999999,0.005,18.683699999999998,0.005,galaxy
B1152+200,11.8507,0.006,18.6207,0.006,galaxy deflected
B1422+231,14.7956,0.0,23.2505,0.0,deflected
B1422+231,14.4106,,22.9335,,source
B1422+231,14.0746,0.003,22.1835,0.003,deflected
B1422+231,15.358600000000001,0.004,22.1315,0.003,deflected
B1422+231,15.1526,0.003,22.2775,0.004,galaxy
B1600+434,16.0279,,43.2799,,source
B1600+434,15.307899999999998,0.003,44.4629,0.004,deflected
B1600+434,15.9179,0.003,43.6489,0.004,galaxy
B1600+434,15.9179,0.003,43.6489,0.004,galaxy deflected
B1600+434,19.5809,0.003,41.0759,0.004,galaxy deflected
B1600+434,15.7449,0.009,43.9169,0.007,deflected
B1608+656,16.1539,,65.5414,,source
B1608+656,16.9119,0.012,65.6674,0.003,galaxy deflected
B1608+656,16.5179,0.012,65.5204,0.009,deflected
B1933+503,19.5753,,50.4232,,source
B1933+503,19.609299999999998,0.173,50.562200000000004,0.108,deflected
B1938+666,19.6403,,66.8145,,source
B1938+666,19.6233,0.003,66.85249999999999,0.007,deflected
B2045+265,20.789,,26.7337,,source
B2045+265,20.653000000000002,0.003,26.4847,0.003,deflected
B2045+265,20.501,0.003,25.9437,0.003,deflected
B2045+265,21.889000000000003,0.003,25.9227,0.004,galaxy
B2045+265,23.781000000000002,0.003,25.2547,0.004,deflected
B2114+022,21.2808,,2.42969,,source
B2114+022,21.4178,0.004,3.7296899999999997,0.003,galaxy deflected
BRI0952-0115,9.91667,,-1.50139,,source
BRI0952-0115,9.22067,0.003,-2.21039,0.003,deflected
BRI0952-0115,9.520669999999999,0.003,-2.00739,0.003,galaxy
CFRS03.1077,3.04192,0.0,0.100583,0.0,galaxy
CFRS03.1077,3.04192,0.0,0.100583,0.0,galaxy deflected
CFRS03.1077,4.64692,0.0,0.6785829999999999,0.0,deflected
CFRS03.1077,1.2839200000000002,0.0,2.652583,0.0,deflected
HE0047-1756,0.841064,,-17.6691,,source
HE0047-1756,1.073064,0.003,-19.0771,0.003,deflected
HE0047-1756,1.078064,0.013,-18.467100000000002,0.02,galaxy
HE0047-1756,0.7520640000000001,,-19.9691,,source
HE0230-2130,2.54253,,-21.2906,,source
HE0230-2130,3.24053,0.003,-21.0346,0.003,deflected
HE0230-2130,3.74053,0.005,-19.462600000000002,0.003,deflected
HE0230-2130,2.2985300000000004,0.007,-19.666600000000003,0.007,deflected
HE0230-2130,2.6145300000000002,0.003,-20.2056,0.005,galaxy
HE0230-2130,2.33053,0.025,-19.2316,0.016,galaxy deflected
HE0435-1223,4.63747,0.0,-12.2873,0.0,deflected
HE0435-1223,3.1614700000000004,0.003,-11.7343,0.003,deflected
HE0435-1223,2.1704700000000003,0.003,-12.8903,0.005,deflected
HE0435-1223,3.6984700000000004,0.003,-13.9013,0.003,deflected
HE0435-1223,3.4724700000000004,0.003,-12.8603,0.003,galaxy
HE1104-1805,11.1093,,-18.3567,,source
HE1104-1805,14.010299999999999,0.003,-19.6887,0.003,deflected
HE1104-1805,12.0743,0.003,-18.8567,0.003,galaxy
HE2149-2745,21.8687,,-27.5306,,source
HE2149-2745,22.7587,0.003,-26.0846,0.003,deflected
HE2149-2745,22.5827,0.007,-26.3806,0.005,galaxy
HS0818+1227,8.36086,0.0,12.2914,0.0,deflected
HS0818+1227,6.852860000000001,0.003,14.359399999999999,0.003,deflected
HS0818+1227,6.699860000000001,0.003,13.763399999999999,0.003,galaxy
HST14113+5211,13.0938,0.003,52.559400000000004,0.007,deflected
HST14113+5211,14.0708,0.038,51.6404,0.036,deflected
HST14113+5211,15.3208,0.004,52.1554,0.009,deflected
HST14113+5211,14.456800000000001,0.004,52.8864,0.009,deflected
HST14113+5211,14.1888,,52.1914,,source
HST14176+5226,15.5815,0.008,51.269400000000005,0.01,deflected
HST14176+5226,15.1735,0.024,53.3234,0.02,deflected
HST14176+5226,13.5015,0.011,53.7764,0.017,deflected
HST14176+5226,13.4855,0.024,51.650400000000005,0.032,deflected
HST14176+5226,14.2935,,52.4444,,source
J1004+1229,10.0736,,12.4895,,source
J1004+1229,10.3406,0.003,14.0055,0.003,deflected
J1004+1229,10.2796,0.007,13.7425,0.007,galaxy
LBQS1009-0252,10.2044,,-3.11722,,source
LBQS1009-0252,9.5344,0.003,-4.5002200000000006,0.003,deflected
LBQS1009-0252,9.667399999999999,0.003,-4.21422,0.003,galaxy
LBQS1009-0252,10.4934,0.003,-3.68722,0.003,galaxy deflected
LBQS1009-0252,5.9074,0.005,-1.49322,0.003,deflected
LBQS1009-0252,5.9274,0.099,-1.54922,0.038,deflected
MG0414+0534,4.8438099999999995,0.003,3.63697,0.003,deflected
MG0414+0534,4.97581,0.003,4.0299700000000005,0.003,deflected
MG0414+0534,4.24381,,5.57897,,source
MG0414+0534,2.90181,0.003,3.92897,0.003,deflected
MG0414+0534,3.77181,0.003,4.30197,0.003,galaxy
MG0414+0534,3.3868099999999997,0.011,5.75897,0.009,deflected
