Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg),Dec(deg),Alternate Names
SDSS J0008-0004,SLACS,2008-08-01,GAL-GAL,A,Luminous red galaxy lensing three background objects.,3,1.16,SIE model,232.0,39.0,2.01231,-0.06896000000000001,
ACS J001423.02-302109.8,Serendipitous,2012-06-15,GAL-GAL,B,Arc,1,1.52,SIE model,,,3.595917,-30.352721999999996,
ACS J001426.26-302255.9,Serendipitous,2012-06-15,GAL-GAL,A,Arc,1,1.0,SIE model,,,3.6094169999999997,-30.382194000000002,
CSWA 21,CASSOWARY,2007-06,GAL-GAL,A,"This  system is the brightest Lyman Break Galaxy (LBG); it was dubbed the ""8 o'clock arc"" due to the time of its discovery. It consists of three lensed images of the LBG and a fourth image - a counter-image.",4,2.91,SIE model,397.0,55.0,5.67049154,14.51956525,8 O'Clock Arc
SDSS J0029-0055,SLACS,2008-08-01,GAL-GAL,A,Luminous  red galaxy lensing two background sources. The most obvious feature of  the lensed emission is a (nearly) complete Einstein ring.,2,0.96,SIE model,202.0,18.0,7.2824,-0.93071,
Abell 68,Serendipitous,2007-06-01,XRAY-CLUST,A,,8,7.5,Reference redshift,,,9.271704,9.163992,A68
SDSS J0044+0113,SLACS,2008-08,GAL-GAL,A,Comments on IFU+HST Data: Clear coincidence of IFU line emission and HST lensed features.,2,0.79,SIE model,254.0,12.0,11.012080000000001,1.2201799999999998,
Q0047-2808,Serendipitous,1996-01-01,GAL-QSO,A,Bright Einstein ring-like feature. The source object is not strictly identified as a QSO. Narrow [OIII] and slightly broader Ly alpha lines are detected.,4,1.34,,219.0,12.0,12.4247466667,-27.874019721999996,ER 0047-2808
HE0047-1756,HE survey,2004-05-01,GAL-QSO,A,The  newly discovered double QSO HE 0047−1756 displays several properties that make it a showpiece gravitationally lensed object rather than a binary QSO: The identical (within ±30 km s−1) redshifts of the two quasar images; the similar emission line proﬁles; the detection of a galaxy located between the two QSO components; and the tentative discovery of a partial Einstein ring.,2,0.7509999999999999,SIE model,,,12.6155,-17.66889,
SDSS J0109+1500,SLACS,2008-08,GAL-GAL,A,,1,0.69,SIE model,243.0,18.0,17.390539999999998,15.00903,
SL2S J020210-110912,SL2S,2011-09-08,GRP-GAL,A,,0,,,,,30.54375,-11.153244,SA2
CSWA 22,CASSOWARY,2007-05-01,GAL-GAL,A,"The SDSS spectrum shows two objects superimposed, the z = 0.44 galaxy and a star. Cataloged at http://www.ast.cam.ac.uk/ioa/research/cassowary/",3,,,,,26.73337065,-9.49791496,Hall's Arc
SL2S J020929-064311,SL2S,2011-09-08,GRP-GAL,A,,0,,,,,32.372207,-6.7197942,SA14
SL2SJ021247-055552,SL2S,2013-07-01,GAL-GAL,A,,3,1.27,SIE model,267.0,17.0,33.199292,-5.931166999999999,
SL2S J021408-053532,SL2S,2006-06-12,GRP-GAL,A,,0,,,,,33.533626,-5.592330400000001,SA22
SL2S J021411-040502,SL2S,2010-08-18,GAL-GAL,A,"The  source has two bright lens components, one of which is lensed into the big arc and its fainter counter-image. The second component forms a double image of smaller magnification. This lens was modeled in Paper I [Gavazzi et al. 2012] with two lens models, each with a different Einstein radii, that match the image configuration. The pixelized source  reconstruction technique adopted in Paper III [Sonnenfeld et al. 2013] to model the lens favors the solution alternative to the one chosen in Paper I.",2,1.41,SIE model,289.0,16.0,33.5467033,-4.0841055,"SL2S J021411-040503,SA23, SL2S J021411.21-040502.8"
SDSS J0216-0813,SLACS,2006-02,GAL-GAL,A,"A faint but deﬁnite counterimage is seen to the NE in both bands in this system, opposite the more obvious extended arc.",3,1.16,SIE model,332.0,24.0,34.21893,-8.22927,
