Author,Title,Discovery,Links
Inada et al. 2012 [AstronJ143(2012)119],The Sloan Digital Sky Survey Quasar Lens Search. V. Final Catalog from the Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=295&
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&
Assef et al. 2011 [ApJ742(2011)93],Black Hole Mass Estimates Based on C IV are Consistent with Those Based on the Balmer Lines,,http://admin.masterlens.org/citation.php?referenceID=752&
Suyu et al. 2010 [ApJ711(2010)201],"Dissecting  the Gravitational lens B1608+656. II. Precision Measurements of the Hubble Constant, Spatial Curvature, and the Dark Energy Equation of State",,http://admin.masterlens.org/citation.php?referenceID=96&
Schneider et al. 2010 [AstronJ139(2010)2360],The Sloan Digital Sky Survey Quasar Catalog. V. Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=353&
Oguri et al. 2010 [MNRAS405(2010)2579],Gravitationally lensed quasars and supernovae in future wide-field optical imaging surveys,,http://admin.masterlens.org/citation.php?referenceID=587&
Inada et al. 2010 [AstronJ140(2010)403],The Sloan Digital Sky Survey Quasar Lens Search. IV. Statistical Lens Sample from the Fifth Data Release,,http://admin.masterlens.org/citation.php?referenceID=974&
Tu 2009 [A&A501(2009)475],The  mass profile of early-type galaxies in overdense environments: the case  of the double source-plane gravitational lens SL2SJ02176-0513,,http://admin.masterlens.org/citation.php?referenceID=156&
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&
Moustakas et al. 2007 [ApJL660(2007)L31],A Strong-Lens Survey in AEGIS: The Influence of Large-Scale Structure,,http://admin.masterlens.org/citation.php?referenceID=144&
Alloin et al. 2007 [A&A470(2007)53],"Dust and molecular content of the lensed quasar, MG0751+2716, at z = 3.2",,http://admin.masterlens.org/citation.php?referenceID=247&
Saha et al. 2006 [ApJL650(2006)L17],The Hubble Time Inferred from 10 Time Delay Lenses,,http://admin.masterlens.org/citation.php?referenceID=513&
Saha et al. 2006 [A&A450(2006)461],COSMOGRAIL: the COSmological MOnitoring of GRAvItational Lenses. IV. Models of prospective time-delay lenses,,http://admin.masterlens.org/citation.php?referenceID=517&
Fassnacht et al. 2006 [ApJ642(2006)30],Mass along the Line of Sight to the Gravitational Lens B1608+656: Galaxy Groups and Implications for H_0,,http://admin.masterlens.org/citation.php?referenceID=93&
Hennawi et al. 2006 [AstronJ131(2006)1],Binary Quasars in the Sloan Digital Sky Survey: Evidence for Excess Clustering on Small Scales,,http://admin.masterlens.org/citation.php?referenceID=999&
Inada et al. 2006 [AstronJ131(2006)1934],SDSS J0806+2006 and SDSS J1353+1138: Two New Gravitationally Lensed Quasars from the Sloan Digital Sky Survey,,http://admin.masterlens.org/citation.php?referenceID=5&
Liesenborgs et al. 2006 [MNRAS367(2006)1209],A genetic algorithm for the non-parametric inversion of strong lensing systems,,http://admin.masterlens.org/citation.php?referenceID=2683&
Inada et al. 2005 [AstronJ130(2005)1967],SDSS J024634.11-082536.2: A New Gravitationally Lensed Quasar from the Sloan Digital Sky Survey,,http://admin.masterlens.org/citation.php?referenceID=3&
Oguri et al. 2005 [ApJ622(2005)106],Discovery of Two Gravitationally Lensed Quasars with Image Separations of 3,,http://admin.masterlens.org/citation.php?referenceID=60&
Sand et al. 2005 [ApJ627(2005)32],A Systematic Search for Gravitationally Lensed Arcs in the Hubble Space Telescope WFPC2 Archive,,http://admin.masterlens.org/citation.php?referenceID=207&
York et al. 2005 [MNRAS357(2005)124],The Hubble constant from the gravitational lens CLASS B0218+357 using the Advanced Camera for Surveys,,http://admin.masterlens.org/citation.php?referenceID=134&
Oguri et al. 2004 [ApJ605(2004)78],Observations and Theoretical Implications of the Large-Separation Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=61&
Johnston et al. 2003 [AstronJ126(2003)2281],SDSS J090334.92+502819.2: A New Gravitational Lens,,http://admin.masterlens.org/citation.php?referenceID=58&
Koopmans et al. 2003 [ApJ599(2003)70],The Hubble Constant from the Gravitational Lens B1608+656,,http://admin.masterlens.org/citation.php?referenceID=92&
Winn et al. 2003 [ApJ587(2003)80],Investigation of the Possible Third Image and Mass Models of the Gravitational Lens PMN J1632-0033,,http://admin.masterlens.org/citation.php?referenceID=308&
Weymann et al. 1979 [ApJL233(1979)L43],"Multiple-mirror telescope observations of the twin QSOs 0957+561 A, B",Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=151&
