author,title,discovery,link,id_system,id_ref
Cardone et al. 2011 [MNRAS416(2011)1822],Secondary infall model and dark matter scaling relations in intermediate-redshift early-type galaxies,,http://admin.masterlens.org/citation.php?referenceID=838&,100,0
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,100,1
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,100,2
Grillo et al. 2009 [A&A501(2009)461],Photometric mass and mass decomposition in early-type lens galaxies,,http://admin.masterlens.org/citation.php?referenceID=839&,100,3
Treu et al. 2009 [ApJ690(2009)670],The SLACS Survey. VIII. The Relation between Environment and Internal Structure of Early-Type Galaxies,,http://admin.masterlens.org/citation.php?referenceID=840&,100,4
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,100,5
Pawase et al. 2012 [arXiv:1206.3412],A seven square degrees survey for galaxy-scale gravitational lenses with the HST imaging archive,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=3488&,101,6
Pawase et al. 2012 [arXiv:1206.3412],A seven square degrees survey for galaxy-scale gravitational lenses with the HST imaging archive,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=3488&,102,7
Bayliss et al. 2010 [ApJ720(2010)1559],Two Lensed Lyman-α Emitting Galaxies at z~ 5,,http://admin.masterlens.org/citation.php?referenceID=3485&,103,8
Koester et al. 2010 [ApJL723(2010)L73],Two Lensed z=3 Lyman Break Galaxies Discovered in the SDSS Giant Arcs Survey,,http://admin.masterlens.org/citation.php?referenceID=219&,103,9
Kubo et al. 2009 [ApJL696(2009)L61],The Sloan Bright Arcs Survey: Six Strongly Lensed Galaxies at z = 0.4-1.4,,http://admin.masterlens.org/citation.php?referenceID=208&,103,10
Lin et al. 2009 [ApJ699(2009)1242],"Discovery of a Very Bright, Strongly Lensed z = 2 Galaxy in the SDSS DR5",,http://admin.masterlens.org/citation.php?referenceID=211&,103,11
Belokurov et al. 2009 [MNRAS392(2009)104],Two new large-separation gravitational lenses from SDSS,,http://admin.masterlens.org/citation.php?referenceID=225&,103,12
Diehl et al. 2009 [ApJ707(2009)686],The Sloan Bright Arcs Survey: Four Strongly Lensed Galaxies with Redshift > 2,,http://admin.masterlens.org/citation.php?referenceID=216&,103,13
Allam et al. 2007 [ApJL662(2007)L51],The 8 Oclock Arc: A Serendipitous Discovery of a Strongly Lensed Lyman Break Galaxy in the SDSS DR4 Imaging Data,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=213&,103,14
Belokurov et al. 2007 [ApJL671(2007)L9],The Cosmic Horseshoe: Discovery of an Einstein Ring around a Giant Luminous Red Galaxy,,http://admin.masterlens.org/citation.php?referenceID=191&,103,15
Cardone et al. 2011 [MNRAS416(2011)1822],Secondary infall model and dark matter scaling relations in intermediate-redshift early-type galaxies,,http://admin.masterlens.org/citation.php?referenceID=838&,104,16
Auger et al. 2010 [ApJ724(2010)511],"The Sloan Lens ACS Survey. X. Stellar, Dynamical, and Total Mass Correlations of Massive Early-type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=584&,104,17
Treu et al. 2010 [ApJ709(2010)1195],The Initial Mass Function of Early-Type Galaxies,,http://admin.masterlens.org/citation.php?referenceID=841&,104,18
Bandara et al. 2009 [ApJ704(2009)1135],A Relationship Between Supermassive Black Hole Mass and the Total Gravitational Mass of the Host Galaxy,,http://admin.masterlens.org/citation.php?referenceID=842&,104,19
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,104,20
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,104,21
Grillo et al. 2009 [A&A501(2009)461],Photometric mass and mass decomposition in early-type lens galaxies,,http://admin.masterlens.org/citation.php?referenceID=839&,104,22
Treu et al. 2009 [ApJ690(2009)670],The SLACS Survey. VIII. The Relation between Environment and Internal Structure of Early-Type Galaxies,,http://admin.masterlens.org/citation.php?referenceID=840&,104,23
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,104,24
Gavazzi et al. 2007 [ApJ667(2007)176],The Sloan Lens ACS Survey. IV. The Mass Density Profile of Early-Type Galaxies out to 100 Effective Radii,,http://admin.masterlens.org/citation.php?referenceID=843&,104,25
Smith et al. 2010 [MNRAS409(2010)169],LoCuSS: connecting the dominance and shape of brightest cluster galaxies with the assembly history of massive clusters,,http://admin.masterlens.org/citation.php?referenceID=3962&,105,26
Smith et al. 2008 [ApJL682(2008)L73],Connecting Substructure in Galaxy Cluster Cores at z = 0.2 with Cluster Assembly Histories,,http://admin.masterlens.org/citation.php?referenceID=3967&,105,27
Richard et al. 2007 [ApJ662(2007)781],A Statistical Study of Multiply Imaged Systems in the Lensing Cluster Abell 68,,http://admin.masterlens.org/citation.php?referenceID=3958&,105,28
Smith et al. 2005 [MNRAS359(2005)417],"A  Hubble Space Telescope lensing survey of X-ray luminous galaxy clusters  - IV. Mass, structure and thermodynamics of cluster cores at z= 0.2",,http://admin.masterlens.org/citation.php?referenceID=3978&,105,29
Sand et al. 2005 [ApJ627(2005)32],A Systematic Search for Gravitationally Lensed Arcs in the Hubble Space Telescope WFPC2 Archive,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=207&,105,30
Smith et al. 2002 [MNRAS333(2002)L16],A Hubble Space Telescope lensing survey of X-ray luminous galaxy clusters - III. A multiply imaged extremely red galaxy at z=1.6,,http://admin.masterlens.org/citation.php?referenceID=3981&,105,31
Smith et al. 2002 [MNRAS330(2002)1],A Hubble Space Telescope lensing survey of X-ray-luminous galaxy clusters - II. A search for gravitationally lensed EROs ^*,,http://admin.masterlens.org/citation.php?referenceID=3983&,105,32
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,106,33
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,106,34
Brewer et al. 2006 [ApJ651(2006)8],The Einstein Ring 0047-2808 Revisited: A Bayesian Inversion,,http://admin.masterlens.org/citation.php?referenceID=2634&,107,35
Wayth et al. 2005 [MNRAS360(2005)1333],The lens and source of the optical Einstein ring gravitational lens ER 0047-2808,,http://admin.masterlens.org/citation.php?referenceID=717&,107,36
