Author,Title,Discovery,Links
Inada et al. 2012 [AstronJ143(2012)119],The Sloan Digital Sky Survey Quasar Lens Search. V. Final Catalog from the Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=295&
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&
Fassnacht et al. 2011 [MNRAS410(2011)2167],Galaxy number counts and implications for strong lensing,,http://admin.masterlens.org/citation.php?referenceID=582&
Schneider et al. 2010 [AstronJ139(2010)2360],The Sloan Digital Sky Survey Quasar Catalog. V. Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=353&
Paraficz et al. 2009 [A&A499(2009)395],Results of optical monitoring of 5 SDSS double QSOs with the Nordic Optical Telescope,,http://admin.masterlens.org/citation.php?referenceID=499&
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&
Saha et al. 2006 [A&A450(2006)461],COSMOGRAIL: the COSmological MOnitoring of GRAvItational Lenses. IV. Models of prospective time-delay lenses,,http://admin.masterlens.org/citation.php?referenceID=517&
Oguri et al. 2005 [ApJ622(2005)106],Discovery of Two Gravitationally Lensed Quasars with Image Separations of 3,,http://admin.masterlens.org/citation.php?referenceID=60&
Johnston et al. 2003 [AstronJ126(2003)2281],SDSS J090334.92+502819.2: A New Gravitational Lens,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=58&
