,Name,RA(deg)_c,Dec(deg)_c,E(B-V)_c,FGHz (mJy)_c,Nimages_c,size(arccsec)_c,sigma (km/s)_c,id_c,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names
0,Q0047-2808,12.424541666666665,-27.873805555555556,0.016,,4ER,2.7,229±15,0.0,,,,,,,,,,,,,
1,HE0047-1756,12.615958333333333,-17.66911111111111,0.022000000000000002,,2,1.44,,1.0,,,,,,,,,,,,,
2,HST01247+0352,21.184999999999995,3.8666666666666667,0.028999999999999998,,2,2.2,,2.0,,,,,,,,,,,,,
3,HST01248+0351,21.189999999999994,3.8516666666666666,0.028999999999999998,,2,0.74,,3.0,,,,,,,,,,,,,
4,B0128+437,22.805854166666663,43.97031666666667,0.08199999999999999,F5=48,4,0.55,,4.0,,,,,,,,,,,,,
5,PMNJ0134-0931,23.648625,-9.517472222222223,0.031,F5=529,5R,0.73,,5.0,,,,,,,,,,,,,
6,Q0142-100,26.318749999999998,-9.754722222222222,0.031,F5~1,2,2.24,,6.0,,,,,,,,,,,,,
7,QJ0158-4325,29.672666666666665,-43.417833333333334,0.015,F8<0.2,2,1.22,,7.0,,,,,,,,,,,,,
8,B0218+357,35.27284583333333,35.93716111111111,0.068,F5=1209,2ER,0.34,,8.0,,,,,,,,,,,,,
9,HE0230-2130,38.137916666666655,-21.290555555555557,0.022000000000000002,,4,2.05,,9.0,,,,,,,,,,,,,
10,SDSS0246-0825,41.64212499999999,-8.426722222222221,0.026000000000000002,,2,1.19,,10.0,,,,,,,,,,,,,
11,CFRS03.1077,45.62874999999999,0.10058333333333334,0.098,,2ER,2.1,256±19,11.0,,,,,,,,,,,,,
12,J0332-2756,53.159249999999986,-27.948027777777778,0.008,,2E,3.64,,12.0,,,,,,,,,,,,,
13,MG0414+0534,63.65720833333333,5.578972222222222,0.303,F5=977,4E,2.4,,13.0,,,,,,,,,,,,,
14,HE0435-1223,69.56208333333332,-12.287333333333333,0.059000000000000004,,4,2.42,,14.0,,,,,,,,,,,,,
15,B0445+123,72.091625,12.465391666666665,0.431,F5=29,2,1.35,,15.0,,,,,,,,,,,,,
16,HE0512-3329,78.54491666666665,-33.43958333333333,0.024,,2,0.65,,16.0,,,,,,,,,,,,,
17,B0631+519,98.80129166666666,51.950500000000005,0.092,F8=45,2R,1.16,,17.0,,,,,,,,,,,,,
18,B0712+472,109.01491666666665,47.14722222222222,0.113,F5=38,4,1.46,,18.0,,,,,,,,,,,,,
19,B0739+366,115.71333333333332,36.57880555555556,0.076,F5=25,2,0.53,,19.0,,,,,,,,,,,,,
20,SDSS0746+4403,116.72095833333331,44.064249999999994,,,2,1.11,,20.0,,,,,,,,,,,,,
21,MG0751+2716,117.92275,27.275375,0.034,F5=202,R,0.7,,21.0,,,,,,,,,,,,,
22,SDSS0806+2006,121.59874999999998,20.108861111111114,0.034,,2,1.4,,22.0,,,,,,,,,,,,,
23,HS0810+2554,123.38041666666665,25.750888888888888,0.04,,4,0.96,,23.0,,,,,,,,,,,,,
24,HS0818+1227,125.41291666666666,12.29138888888889,0.031,,2,2.83,,24.0,,,,,,,,,,,,,
25,APM08279+5255,127.92329166666667,52.75472222222222,0.05,,3,0.38,,25.0,,,,,,,,,,,,,
26,B0850+054,133.22325,5.25425,0.062,F5=68,2E,0.68,,26.0,,,,,,,,,,,,,
27,SDSS0903+5028,135.8955,50.472,0.025,,2,2.99,,27.0,,,,,,,,,,,,,
28,RXJ0911+0551,137.86458333333334,5.847777777777777,0.045,,4,2.47,,28.0,,,,,,,,,,,,,
29,SBS0909+523,138.254375,52.99134166666667,0.015,,2,1.17,,29.0,,,,,,,,,,,,,
30,RXJ0921+4529,140.303375,45.48455555555556,0.018000000000000002,,2,6.97,,30.0,,,,,,,,,,,,,
31,SDSS0924+0219,141.23279166666666,2.323583333333333,0.055,,4,1.75,,31.0,,,,,,,,,,,,,
32,FBQ0951+2635,147.84404166666667,26.587249999999997,0.022000000000000002,F5=1.7,2,1.11,,32.0,,,,,,,,,,,,,
