ra,dec,Lens Name,zs,zl,RA (J2000),Dec (J2000),E(B-V),ms (mag),ml (mag),FGHz (mJy),Nim,"size ("")",dt (days),sigma (km/s),img_path,Name,Discovery,Discovery Date,Lens Kind,Lens Grade,Description,N Images,Einstein_R,Einstein_R quality,Stellar_v_disp,Stellar_v_disp_err,Ra(deg)_ml,Dec(deg)_ml,Alternate Names,isReal,Target
11.012080000000001,1.2201799999999998,B2045+265,1.28,0.87,311.83479166666666,26.733666666666668,0.23199999999999998,I=22.02/3,I=21.06,F8=19,4,2.74,,,"['B2045H.gif', 'B2045V.gif', 'B2045Vcc.gif', 'B2045Hcc.gif', 'B2045Icc.gif', 'B2045I.gif']",,,,,,,,,,,,,,,1,1
9.271704,9.163992,B1933+503,2.63,0.76,293.6289583333333,50.42322222222222,0.095,,I=20.24,F5=59,10,1.0,,,"['B1933H.gif', 'B1933.gif', 'B1933V.gif', 'B1933I.gif']",,,,,,,,,,,,,,,1,1
30.54375,-11.153244,FSC10214+4724,2.29,(0.75),156.14416666666665,47.153055555555554,0.012,I=16.44/4,I=20.40,F5~0.1,2E,1.59,,,"['FSC10214I.gif', 'FSC10214J.gif', 'FSC10214Jcc.gif', 'FSC10214Kcc.gif', 'FSC10214Icc.gif', 'FSC10214K.gif']",,,,,,,,,,,,,,,1,1
78.54491666666665,-33.43958333333333,,,,,,,,,,,,,,,SDSS J0216-0813,SLACS,2006-02,GAL-GAL,A,"A faint but deﬁnite counterimage is seen to the NE in both bands in this system, opposite the more obvious extended arc.",3.0,1.16,SIE model,332.0,24.0,34.21893,-8.22927,"SL2S J02176-0513, UDS-01, SL2S J021737.18-051329.4",1,1
104.65791999999999,-55.95,Q0047-2808,3.60,0.48,12.424541666666665,-27.873805555555556,0.016,I=16.47/2,I=20.05,F5~1,4ER,2.7,,229±15,"['Q0047I.gif', 'Q0047Hcc.gif', 'Q0047V.gif', 'Q0047Icc.gif', 'Q0047H.gif', 'Q0047Vcc.gif']",,,,,,,,,,,,,,,1,1
338.21208333333334,-60.54527777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
308.4253333333333,-47.39527777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
306.5434583333333,-45.607527777777776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
279.61875,-34.461555555555556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
330.3866666666666,-32.028888888888886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
38.137916666666655,-21.290555555555557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
