Author,Title,Discovery,Links
Cardone et al. 2011 [MNRAS416(2011)1822],Secondary infall model and dark matter scaling relations in intermediate-redshift early-type galaxies,,http://admin.masterlens.org/citation.php?referenceID=838&
Auger et al. 2010 [ApJ724(2010)511],"The Sloan Lens ACS Survey. X. Stellar, Dynamical, and Total Mass Correlations of Massive Early-type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=584&
Treu et al. 2010 [ApJ709(2010)1195],The Initial Mass Function of Early-Type Galaxies,,http://admin.masterlens.org/citation.php?referenceID=841&
Bandara et al. 2009 [ApJ704(2009)1135],A Relationship Between Supermassive Black Hole Mass and the Total Gravitational Mass of the Host Galaxy,,http://admin.masterlens.org/citation.php?referenceID=842&
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&
Grillo et al. 2009 [A&A501(2009)461],Photometric mass and mass decomposition in early-type lens galaxies,,http://admin.masterlens.org/citation.php?referenceID=839&
Treu et al. 2009 [ApJ690(2009)670],The SLACS Survey. VIII. The Relation between Environment and Internal Structure of Early-Type Galaxies,,http://admin.masterlens.org/citation.php?referenceID=840&
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&
Gavazzi et al. 2007 [ApJ667(2007)176],The Sloan Lens ACS Survey. IV. The Mass Density Profile of Early-Type Galaxies out to 100 Effective Radii,,http://admin.masterlens.org/citation.php?referenceID=843&
