Band,Filter,HST,PA [° E of N],Program Observations,SDSS,lens_mag,lens_mag_err,Flux (nmaggie),Flux (nmaggie)_err,ref (arcsec),ref (arcsec)_err,axis_ratio (AB),axis_ratio (AB)_err
u,Sloan u,,91.98,Has Sloan ugriz photometryRA = 34.40484° Dec = -5.22487° Photometric Object: GALAXY,SDSS (DR8),25.08 , 1.79,-0.12 , 0.50,36.68 , 57.17,0.05 , 0.00
g,Sloan g,,123.96,Has Sloan ugriz photometryRA = 34.40484° Dec = -5.22487° Photometric Object: GALAXY,SDSS (DR8),21.33 , 0.09,2.93 , 0.24,0.95 , 0.25,0.53 , 0.34
r,Sloan r,,135.81,Has Sloan ugriz photometryRA = 34.40484° Dec = -5.22487° Photometric Object: GALAXY,SDSS (DR8),20.48 , 0.06,6.42 , 0.35,1.26 , 0.22,0.98 , 0.23
i,Sloan i,,101.35,Has Sloan ugriz photometryRA = 34.40484° Dec = -5.22487° Photometric Object: GALAXY,SDSS (DR8),19.56 , 0.04,14.98 , 0.54,0.92 , 0.09,0.71 , 0.13
z,Sloan z,,116.75,Has Sloan ugriz photometryRA = 34.40484° Dec = -5.22487° Photometric Object: GALAXY,SDSS (DR8),19.06 , 0.09,23.73 , 2.06,1.06 , 0.39,0.88 , 0.42
V,F606W,ACS/WFC (WFC),71.7 ± 0.1,HST Program 12064 — PI: FaberHST Program 12328 — PI: Van dokkum,,20.77 , 0.01,,,0.61 , 0.01,0.91 , 0.01
I,G800L,ACS/WFC (WFC),,HST Program 12064 — PI: FaberHST Program 12328 — PI: Van dokkum,,,,,,,,,
I,F814W,ACS/WFC (WFC),,HST Program 12064 — PI: FaberHST Program 12328 — PI: Van dokkum,,19.13 , 0.01,,,,,,
V,F606W,ACS/WFC (WFC1),,HST Program 10876 — PI: Kneib,,,,,,,,,
I,F814W,ACS/WFC (WFC1),,HST Program 10876 — PI: Kneib,,,,,,,,,
,G141,WFC3/IR (IR),,HST Program 12064 — PI: FaberHST Program 12328 — PI: Van dokkum,,,,,,,,,
J,F125W,WFC3/IR (IR),,HST Program 12064 — PI: FaberHST Program 12328 — PI: Van dokkum,,,,,,,,,
J,F140W,WFC3/IR (IR),,HST Program 12064 — PI: FaberHST Program 12328 — PI: Van dokkum,,,,,,,,,
H,F160W,WFC3/IR (IR),,HST Program 12064 — PI: FaberHST Program 12328 — PI: Van dokkum,,,,,,,,,
