system_name,discovery_date,ra_hrs,ra_mins,ra_secs,ra_coord,dec_degrees,dec_arcmin,dec_arcsec,dec_coord,lensgrade,number_images,theta_e,theta_e_err,z_lens,z_lens_err,z_source,z_source_err,vdisp,vdisp_err
SDSSJ0008-0004,2008-08-01,00,08,2.96,2.01231,-00,04,8.26,-0.06896,A,3,1.16,0.02,0.4400,0.0001,1.192,0.001,232,39
ACSJ001423.02-302109.8,2012-06-15,00,14,23.02,3.595917,-30,21,09.8,-30.352722,B,1,1.52,0.01,NaN,NaN,NaN,NaN,NaN,NaN
ACSJ001426.26-302255.9,2012-06-15,00,14,26.26,3.609417,-30,22,55.9,-30.382194,A,1,1.00,0.01,NaN,NaN,NaN,NaN,NaN,NaN
CSWA34,2009-01-01,00,17,1.54,4.25642966,-10,09,11.12,-10.15308799,,2,NaN,NaN,0.5,0.1,NaN,NaN,NaN,NaN
MACSJ0018.5+1626,2010-06-01,0,18,33.6,4.640006777,+16,26,16.29,+16.4378587777,A,0,24,2,0.545,NaN,NaN,NaN,NaN,NaN
CSWA21,2007-06-00,00,22,40.92,5.67049154,+14,31,10.43,14.51956525,A,4,2.91,0.14,0.38,0.01,2.73,0.01,397,55
MACSJ002523.4-121942,2008-11-01,00,25,23.4,6.3479305559,-12,19,42,-12.3286802225,A,2,NaN,NaN,0.582,0.001,2.047,0.001,NaN,NaN
MACSJ0025.4-1222,2008-11-01,00,25,29.381,6.372421,-12,22,37.06,-12.376961,A,0,30,2,0.584,NaN,NaN,NaN,740,100
CL0024+1654,1995-12-01,00,26,35,6.645833,+17,09,43,+17.161944,A,0,NaN,NaN,0.39,NaN,NaN,NaN,NaN,NaN
SDSSJ0029-0055,2008-08-01,00,29,7.78,7.28240,-00,55,50.56,-0.93071,A,2,0.96,0.02,0.22704,0.00005,0.9313,0.0001,202,18
SDSSJ002927.38+254401.7,2016-04-07,00,29,27.3883,7.364118,+25,44,01.7862,+25.73383,A,2,1.34,NaN,0.5869,NaN,2.4504,NaN,241,45
Abell68,2007-06-01,00,37,06.475,9.271704,+09,09,32.28,9.163992,A,8,7.5,0.5,0.2546,NaN,1.265,.001,NaN,NaN
SDSSJ0037-0942,2006-02-00,00,37,53.21,9.4705016657,-09,42,20.12,-9.7045899992,A,2,1.53,0.01,0.19545,0.00003,0.632,0.001,274,10
SDSSJ0044+0113,2008-08-00,00,44,2.9,11.01208,+01,13,12.65,+1.22018,A,2,0.79,0.01,0.11958,0.00003,0.197,0.001,254,12
Q0047-2808,1996-01-01,00,49,41.96,12.4247466667,-27,52,25.000,-27.874019722,A,4,1.34,0.01,0.485,NaN,3.595,NaN,219,12
HE0047-1756,2004-05-01,00,50,27.72,12.6155,-17,40,08,-17.66889,A,2,0.751,0.002,0.407,0.001,1.67,0.01,NaN,NaN
ACSJ005656.81-273841.0,2012-06-15,00,56,56.81,14.236708,-27,38,41.0,-27.644722,B,1,0.93,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ0058-0722,2013-12-00,00,58,47.96,14.699833,-07,21,58.1,-7.366139,,3,NaN,NaN,0.639,0.001,1.873,0.001,NaN,NaN
SPT0103-45,2013-03-21,01,03,11.50,15.797917,-45,38,53.90,-44.351694,A,2,NaN,NaN,NaN,NaN,3.0917,0.0001,NaN,NaN
SDSSJ0105+0145,2013-12-00,01,05,19.89,16.332875,+01,44,59.1,+1.74975,,1,3.5,0.1,0.361,0.001,2.127,0.001,NaN,NaN
ACSJ010559.53-254438.0,2012-06-15,01,05,59.53,16.498042,-25,44,38.0,-25.743889,B,1,0.88,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ0109+1500,2008-08-00,01,09,33.73,17.39054,+15,00,32.51,+15.00903,A,1,0.69,0.01,0.29388,0.00006,0.525,0.001,243,18
ACSJ011018.22+193819.5,2012-06-15,01,10,18.22,17.575917,+19,38,19.5,+19.63875,A,1,3.10,0.01,NaN,NaN,NaN,NaN,NaN,NaN
