SpecObjId,z,ra,dec
1353339979190790144,0.0004606231,146.65248,44.779086
7054011510821986304,0.0004606231,23.631323,30.353149
8228154971968741376,0.0004606231,146.92371,45.404365
7633630066040086528,0.001001434,37.692791,-0.758662
7527985687154368512,0.001133208,169.54496,48.036756
9965345698181259264,0.001834993,163.17191,36.669169
5968500784857325568,0.003245177,137.13136,15.799129
6895119435603877888,0.005650592,351.13205,19.837266
9435221665413832704,0.008517087,206.82867,44.612197
8335221022308409344,0.008896966,176.47822,50.5458
1141789819425286144,0.009057861,173.3499,55.071078
7590915960728428544,0.009375539,213.2408,51.026801
1969251769947023360,0.009818753,161.64564,13.750859
6462719441977188352,0.009885867,145.97096,49.010633
4226655555274383360,0.01180484,120.3977,34.061566
8901602555915640832,0.01307563,12.486346,-2.5469314
8337328787155820544,0.01308863,179.20813,47.941557
1469348627829778432,0.01317231,146.37237,9.6028969
519139120023365632,0.01336469,52.555265,-5.5433502
1496382045511772160,0.0135112,224.27833,49.669019
5958482858515341312,0.01401249,133.62992,17.625154
1976096230316468224,0.01404314,174.80641,15.037701
1480714554974431232,0.014366,185.92837,58.246151
8176395736130232320,0.01604717,69.265329,24.935248
6904217345507434496,0.0165467,354.69518,18.28872
1356846046860306432,0.01705317,121.4111,26.16819
4831363861427757056,0.0176647,337.80623,3.5590394
4863904463998394368,0.01777723,337.80623,3.5590394
4867437194690666496,0.01797233,337.80623,3.5590394
1407535461408204800,0.01904729,66.11451,27.584355
4563282861596057600,0.01932266,199.26423,-2.2613246
3132298422976014336,0.0194578,233.96878,14.517719
372706169120122880,0.01948028,180.3098,-3.6780667
2257567360179267584,0.01981986,204.41615,39.154573
1141745564082268160,0.02068626,171.40069,54.382555
2517570803256551424,0.0207611,189.42164,26.707643
948127608191608832,0.02078444,180.7409,4.84585
1620334118438987776,0.0209481,169.03189,41.398105
2585112428261959680,0.02129865,145.51997,23.685263
1005601283572262912,0.02136538,126.29263,37.98882
1346751981418473472,0.02196387,144.5511,7.7277918
2103270966724421632,0.02228924,115.6346,49.810025
2984769249869850624,0.02236884,200.22361,21.919523
2373430047240382464,0.02289685,182.68449,38.33619
6731986546637905920,0.0229327,186.26211,24.540731
4450683245671981056,0.02294654,234.78113,25.298776
1480669200119785472,0.02310827,184.47907,58.659912
1902869856911386624,0.0232155,251.01096,27.568178
2491789455665424384,0.02338363,169.46937,29.304483
8568130019137658880,0.02365503,348.93633,20.525797
2365533086311016448,0.02366029,205.7533,36.165652
1628086776218281984,0.02425128,178.42407,46.211737
507820747293485056,0.02501559,141.16204,56.12972
708351604511762432,0.02540408,251.83948,44.702717
4254847028947820544,0.02600535,192.91413,-2.8008298
6753180178959015936,0.02633664,205.28272,23.282053
3346327981948692480,0.02641799,258.11852,35.884064
2581764965027309568,0.02641824,141.82712,23.020103
990884591587846144,0.02645922,173.16769,52.950379
2743985813057464320,0.02714456,139.14303,17.919008
2350988190619297792,0.02744432,196.23733,39.924929
